Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Karnataka Lokayukta,Ballari,"SP, KLA, Ballari",SP,"KLA, Ballari",08392-294825,,9364062511,,kla-blrysp-ka@nic.in
Special Units,Karnataka Lokayukta,Raichur,"SP, KLA, Raichur",SP,"KLA, Raichur",08532-226592,,295376,,kla-sprcr-ka@nic.in
Special Units,Karnataka Lokayukta,Ballari,"DySP, KLA, BALLARI",DySP,"KLA, BALLARI",08392-271875,,9364062552,,
Special Units,Karnataka Lokayukta,Koppal,"DySP, KLA, KOPPAL",DySP,"KLA, KOPPAL",08539-295200,,220553,,
Special Units,Karnataka Lokayukta,Raichur,"DySP, KLA, RAICHUR",DySP,"KLA, RAICHUR",08532-226173,,9364062582,,
Special Units,Department of Prisons & Correctional Services,Ballari,"Superintendent of Prison, Ballari",Superintendent of Prison,Ballari,08392-255025,,9480806515,,cpbly.prisons-kar@gov.in
Special Units,Department of Prisons & Correctional Services,Raichur,"PRISON, RAICHUR",PRISON,RAICHUR,08532-226134,,9480806508,,dprcr.prisons-kar@gov.in
Special Units,State Intelligence,Koppal,"PI, KOPPAL",PI,KOPPAL,08539-222133,,9449878622,,
Special Units,State Intelligence,Ballari,"PI, BALLARI",PI,BALLARI,08392-277974,,9449878604,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),Ballari,"SP, DCRE, Ballari Range",SP,"DCRE, Ballari Range",08392-299039,,9480806112,,spblrdcre@ksp.gov.in
Special Units,Karnataka Railways Police,Raichur,"CPI, Railways, Raichur",CPI,"Railways, Raichur",08532-225534,,9480800471,,cpiraichurrly@ksp.gov.in
Special Units,Finger Print Bureau (FPB),Raichur,"PSI FPB, Raichur",PSI FPB,Raichur,—,,9480803810,,
Special Units,Finger Print Bureau (FPB),Koppal,"PSI FPB, Koppal",PSI FPB,Koppal,—,,9480803710,,
Special Units,Directorate of Forensic Science Laboratory (FSL),Ballari,"Deputy Director, RFSL, Ballari",Deputy Director,"RFSL, Ballari",08392-200453,,9980011544,,"rfslgba@ksp.gov.in, adrfslbly@gmail.com"
Ranges,Ballari Range – Ballari,Ballari,"IGP, Ballari Range",IGP,Ballari Range,254900 (CB),254400,9480800034,,igpblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"DySP HQ, IGP Office",DySP HQ,IGP Office,08392-255009,,—,,dsphqigpblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"AAO, IGP Office",AAO,IGP Office,08392-255900,,—,,
Ranges,Ballari Range – Ballari,Ballari,"SS, IGP Office",SS,IGP Office,08392-255400,,—,,
Ranges,Ballari Range – Ballari,Ballari,"SP, DCRE, Ballari Range",SP,"DCRE, Ballari Range",08392-299039,,9480806112,,spblrdcre@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"SP, Ballari",SP,Ballari,258300,,258400,,spblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"Addl. SP-1, Ballari",Addl. SP-1,Ballari,08392-258837,,9480803002,,addlspblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"Addl. SP-2, Ballari",Addl. SP-2,Ballari,257966,,9480803009,,addlsp2blr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"District C/Room, Office",District C/Room,Office,258100,258102,9480803000,9480803083,dcblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Wireless, Office",PI Wireless,Office,258101,,9480800948,,
Ranges,Ballari Range – Ballari,Ballari,"DySP, Cyber Crime PS",DySP,Cyber Crime PS,255034,,9480803014,,cybercrimeblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Women PS, Office",PI Women PS,Office,268108,,9480803088,,womenpsblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"DySP, Ballari City",DySP,Ballari City,272322,,9480803020,,sdpoblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Gandhinagar PS, Office",PI Gandhinagar PS,Office,272192,,9480803046,,gandhinagarblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Gandhinagar PS, Office",PSI Gandhinagar PS,Office,272192,,9480803082,,
Ranges,Ballari Range – Ballari,Ballari,"PI Brucepet PS, Office",PI Brucepet PS,Office,272022,,9480803045,,brucepetblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Brucepet PS, Office",PSI Brucepet PS,Office,272022,,9480803081,,
Ranges,Ballari Range – Ballari,Ballari,"PI Cowl Bazar PS, Office",PI Cowl Bazar PS,Office,240731,,9480803047,,cowlbazarblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI-1 Cowl Bazar PS, Office",PSI-1 Cowl Bazar PS,Office,240731,,9480803084,,
Ranges,Ballari Range – Ballari,Ballari,"PSI-2 Cowl Bazar PS, Office",PSI-2 Cowl Bazar PS,Office,240731,,9480803085,,
Ranges,Ballari Range – Ballari,Ballari,"PI APMC Yard Ballari PS, Office",PI APMC Yard Ballari PS,Office,250033,,9480803096,,apmcblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Ballari Traffic PS, Office",PI Ballari Traffic PS,Office,275722,,9480803048,,bellarytrafficblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Ballari Traffic PS, Office",PSI Ballari Traffic PS,Office,275722,,9480803086,,
Ranges,Ballari Range – Ballari,Ballari,"DySP, Siruguppa",DySP,Siruguppa,—,,9480803021,,sdposiruguppa@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Ballari Rural PS, Office",PI Ballari Rural PS,Office,276461,,9480803049,,
Ranges,Ballari Range – Ballari,Ballari,"PSI Rural Ballari PS, Office",PSI Rural Ballari PS,Office,276461,,9480803087,,bellaryruralblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"CPI Siruguppa Circle, Office",CPI Siruguppa Circle,Office,220333,,9480803032,,cpisgpblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI-1 Siruguppa PS, Office",PSI-1 Siruguppa PS,Office,220333,,9480803053,,siruguppablr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI-2 Siruguppa PS, Office",PSI-2 Siruguppa PS,Office,220333,,9480803013,,
Ranges,Ballari Range – Ballari,Ballari,"PSI Hatchohalli PS, Office",PSI Hatchohalli PS,Office,241613,,9480803054,,hatcholliblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"CPI P.D. Halli Circle, Office",CPI P.D. Halli Circle,Office,265010,,9480803031,,cpiruralblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI P.D. Halli PS, Office",PSI P.D. Halli PS,Office,265010,,9480803052,,pdhalliblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Moka PS, Office",PSI Moka PS,Office,293228,,9480803050,,mokablr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"CPI Tekkalakote Circle, Office",CPI Tekkalakote Circle,Office,248013,,9480803033,,cpitkotablr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Tekkalakote PS, Office",PSI Tekkalakote PS,Office,248013,,9480803055,,tekkalakotablr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Sirigeri PS, Office",PSI Sirigeri PS,Office,244426,,9480803056,,siregeriblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"DySP, Toranagallu",DySP,Toranagallu,08392-200763,,9480803010,,sdpotngblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Kampli PS, Office",PI Kampli PS,Office,251599,,9480803038,,cpikampliblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Kampli PS, Office",PSI Kampli PS,Office,250333,,9480803077,,kampliblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"CPI Kurugodu Circle, Office",CPI Kurugodu Circle,Office,263433,,8277977722,,cpikurugodublr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Kurugodu PS, Office",PSI Kurugodu PS,Office,263433,,9480803051,,kurugodublrblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Kuduthini PS, Office",PSI Kuduthini PS,Office,08392-248100,,9480803078,,kuduthiniblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"CPI Sandur Circle, Office",CPI Sandur Circle,Office,260249,,9480803036,,cpisdrblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Sandur PS, Office",PSI Sandur PS,Office,260249,,9480803061,,sandurblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Torangallu PS, Office",PSI Torangallu PS,Office,250100,,9480803062,,torangalblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI Choranuru PS, Office",PSI Choranuru PS,Office,—,,9480803063,,choranurublr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"AAO, Office",AAO,Office,258011,,—,,
Ranges,Ballari Range – Ballari,Ballari,"SP, Lokayukta",SP,Lokayukta,294825,271827,9364062511,,kla-blrysp-ka@nic.in
Ranges,Ballari Range – Ballari,Ballari,"DySP, Lokayukta",DySP,Lokayukta,—,,9364062552,,kla-blrysp-ka@nic.in
Ranges,Ballari Range – Ballari,Ballari,"PI, Lokayukta",PI,Lokayukta,—,,9364062630,,
Ranges,Ballari Range – Ballari,Ballari,"PI, Lokayukta",PI,Lokayukta,—,,9364062631,,
Ranges,Ballari Range – Ballari,Ballari,"DySP, DAR",DySP,DAR,272966,,9480803006,,dspdarblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI, DSB",PI,DSB,257886,,9480803007,,pidsbblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI, ISD",PI,ISD,—,,9480800695,,
Ranges,Ballari Range – Ballari,Ballari,"RPI, DAR",RPI,DAR,277417,,9480803041,,rpidarblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI GESCOM, Office",PI GESCOM,Office,258753,,—,,
Ranges,Ballari Range – Ballari,Ballari,"DySP INT, Office",DySP INT,Office,277974,,—,,
Ranges,Ballari Range – Ballari,Ballari,"PI INT, Office",PI INT,Office,277974,,—,,piintblr@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"Home Guard, Office",Home Guard,Office,276421,,—,,
Ranges,Ballari Range – Ballari,Ballari,"Railway PS, Office",Railway PS,Office,276063,,9480802131,,
Ranges,Ballari Range – Ballari,Ballari,"Dist. Jail, Office",Dist. Jail,Office,255025,,9480806515,,
Ranges,Ballari Range – Ballari,Ballari,"SP, Vijayanagara",SP,Vijayanagara,200083,,9480805701,,spvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"Addl. SP, Vijayanagara",Addl. SP,Vijayanagara,200293,,9480805702,,addlspvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"Dist. C/Room, Office",Dist. C/Room,Office,200202,,200200,,dcvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI(W), Office",PI(W),Office,200201,,9480805707,,pcrvjn@gmail.com
Ranges,Ballari Range – Ballari,Ballari,"DySP, Hospet",DySP,Hospet,224204,,9480805720,,sdpohptvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Hospet Town PS, Office",PI Hospet Town PS,Office,224033,,9480805745,,hospettownvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI-1 Hospet Town PS, Office",PSI-1 Hospet Town PS,Office,224033,,9480805751,,hospettownvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Hospet Traffic PS, Office",PI Hospet Traffic PS,Office,230255,,9480805756,,hospettrafficvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PSI-1 Hospet Traffic PS, Office",PSI-1 Hospet Traffic PS,Office,230255,,9480805752,,hospettrafficvjn@ksp.gov.in
Ranges,Ballari Range – Ballari,Ballari,"PI Hospet Rural PS, Office",PI Hospet Rural PS,Office,228233,,9480805746,,hospetruralvjn@ksp.gov.in
