Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Control Room,Control Rooms in Bengaluru,Bengaluru City,"DGP C/Room, Office",DGP C/Room,Office,22211777,,22942111,,"crdgcontrol@ksp.gov.in, wrdgcontrol@ksp.gov.in"
Control Room,Control Rooms in Bengaluru,Bengaluru City,"CID CIVIL C/Room, Office",CID CIVIL C/Room,Office,22942444,,22094498,,spnoccid@ksp.gov.in
Wireless,Control Rooms in Bengaluru,Bengaluru City,"CID WIRELESS C/Room, Office",CID WIRELESS C/Room,Office,22942434,,22094500,,crcod@ksp.gov.in
Control Room,Control Rooms in Bengaluru,Bengaluru City,"ISD C/Room, Office",ISD C/Room,Office,25596006,,22943801,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"BENGALURU CITY C/Room, Office",BENGALURU CITY C/Room,Office,22942222,,22250999,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"108 C/Room (Ambulance), Office",108 C/Room (Ambulance),Office,23280161 (108),,—,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"CENTRAL C/Room, Office",CENTRAL C/Room,Office,22943003,,9480801100,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"EAST C/Room, Office",EAST C/Room,Office,22943535,,9480801200,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"SOUTH EAST C/Room, Office",SOUTH EAST C/Room,Office,22943482,,9480801600,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"WEST C/Room, Office",WEST C/Room,Office,22943232,,9480801700,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"NORTH C/Room, Office",NORTH C/Room,Office,22943434,,9480801300,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"NORTH EAST C/Room, Office",NORTH EAST C/Room,Office,22943060,,9480801400,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"SOUTH C/Room, Office",SOUTH C/Room,Office,22943111,,9480801500,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"TRAFFIC NORTH C/Room, Office",TRAFFIC NORTH C/Room,Office,22943684,,9480801096,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"TRAFFIC SOUTH C/Room, Office",TRAFFIC SOUTH C/Room,Office,22942704,,9480801097,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"TRAFFIC EAST C/Room, Office",TRAFFIC EAST C/Room,Office,22943131,,9480801095,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"TRAFFIC WEST C/Room, Office",TRAFFIC WEST C/Room,Office,22943030,,9480801900,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"TRAFFIC CENTRAL C/Room, Office",TRAFFIC CENTRAL C/Room,Office,22943663,,9480801094,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"MASTER C/Room, Office",MASTER C/Room,Office,22943322,,—,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"CCB C/Room, Office",CCB C/Room,Office,22943084,,—,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"CAR HQRS C/Room, Office",CAR HQRS C/Room,Office,22943555,,—,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"CAR NORTH C/Room, Office",CAR NORTH C/Room,Office,22943222,,9480801046,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"CAR SOUTH C/Room, Office",CAR SOUTH C/Room,Office,22943333,,—,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"WHITE FIELD C/Room, Office",WHITE FIELD C/Room,Office,22942959,,9480801144,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"RAILWAY C/Room, Office",RAILWAY C/Room,Office,22942666,,22871291,,dcrly@ksp.gov.in
Control Room,Control Rooms in Bengaluru,Bengaluru City,"RPF C/Room, Office",RPF C/Room,Office,22156322,,—,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"BBMP C/Room, Office",BBMP C/Room,Office,22221188,,22660000,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"DEAD BODY C/Room, Office",DEAD BODY C/Room,Office,22975829,,—,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"CISF C/Room, Office",CISF C/Room,Office,22001509,,22001519,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"DISASTER C/Room, Office",DISASTER C/Room,Office,22340676,,22253707,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"INT C/Room, Office",INT C/Room,Office,22240372,,22942608,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"I BN KSRP C/Room BENGALURU, Office",I BN KSRP C/Room BENGALURU,Office,25584116,,22942555,,
Control Room,Control Rooms in Bengaluru,Bengaluru City,"III BN KSRP C/Room BENGALURU, Office",III BN KSRP C/Room BENGALURU,Office,22943638,,9480800836,,
