Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,"Communication, Logistics & Modernisation",State Level,"ADGP, CL & M",ADGP,CL & M,080-22863286,,22942112,,adgpclm@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"DIGP WIRELESS, Office",DIGP WIRELESS,Office,080-22864626,,9480800901,,digpwireless@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"SP, Wireless",SP,Wireless,080-22942324,,22864626,,"spwireless@ksp.gov.in, spwadminoffice@ksp.gov.in"
Special Units,"Communication, Logistics & Modernisation",State Level,"SP, MTO",SP,MTO,080-22862186,,22942323,,"spmto@ksp.gov.in, ssstatemt@ksp.gov.in"
Special Units,"Communication, Logistics & Modernisation",State Level,"SP(W), DGP C/Room",SP(W),DGP C/Room,080-22942334,,22215911,,"crdgcontrol@ksp.gov.in, wrdgcontrol@ksp.gov.in"
Special Units,"Communication, Logistics & Modernisation",State Level,"DySP(W), Headquarters",DySP(W),Headquarters,080-22943530,,9480800909,,
Special Units,"Communication, Logistics & Modernisation",State Level,"DySP(W), Tech",DySP(W),Tech,080-22942625,,9480800902,,
Special Units,"Communication, Logistics & Modernisation",State Level,"DySP(W), Check & Monitoring",DySP(W),Check & Monitoring,080-22943521,,9480800906,,dyspwcheckoffice@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"DySP(W), DGP C/Room",DySP(W),DGP C/Room,080-22943432,,9364881600,,crdgcontrol@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"PI (W), Check Office",PI (W),Check Office,080-22942329,,9480800923,,kspwco@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"PI (W), Monitoring",PI (W),Monitoring,—,,9480800922,,kspwmon@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"PI (W), CWS",PI (W),CWS,080-22942327,,9480800921,,"piwcws@ksp.gov.in, kspwcws@ksp.gov.in"
Special Units,"Communication, Logistics & Modernisation",State Level,"PI (W), CTS",PI (W),CTS,080-22942330,,22943170,,"piwcts@ksp.gov.in, piwcts@gmail.com, kspwcts@ksp.gov.in"
Special Units,"Communication, Logistics & Modernisation",State Level,"ERSS – EMERGENCY RESPONSE SUPPORT SYSTEM – 112, Office",ERSS – EMERGENCY RESPONSE SUPPORT SYSTEM – 112,Office,080-22940112,,22942200,,
Special Units,"Communication, Logistics & Modernisation",State Level,"INDIAN CYBER CRIME CO-ORDINATION CENTRE (I4C) IN KARNATAKA, Office",INDIAN CYBER CRIME CO-ORDINATION CENTRE (I4C) IN KARNATAKA,Office,HELPLINE – 1930,,9364881601,,
Special Units,"Communication, Logistics & Modernisation",State Level,"AAO, Office",AAO,Office,080-22942328,,9739893578,,aao.dgpclm@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"SS to Wireless, Radio Grid Office",SS to Wireless,Radio Grid Office,080-22942639,,9739605444,,"kspwadminoffice@ksp.gov.in, kspwgnl@ksp.gov.in, kspwinward@ksp.gov.in, kspwest1@ksp.gov.in, kspwest2@ksp.gov.in"
Special Units,"Communication, Logistics & Modernisation",State Level,"PA to ADGP CL&M, Office",PA to ADGP CL&M,Office,080-22942112,,22863286,,adgpclm@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",State Level,"PA to SP (W), Office",PA to SP (W),Office,080-22942324,,—,,
Special Units,"Communication, Logistics & Modernisation",State Level,"M.T. SECTION (Motor Transportation), Office",M.T. SECTION (Motor Transportation),Office,080-22942737,,—,,
Special Units,"Communication, Logistics & Modernisation",State Level,"SIGNAL OFFICE, Office",SIGNAL OFFICE,Office,080-22942803,,—,,kspwsignaloffice@ksp.gov.in
