Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Department of Prisons & Correctional Services,State Level,"DGP, Prisons & Correctional Services",DGP,Prisons & Correctional Services,080-22267169,,22942213,,dg.prisons.cs@karnataka.gov.in
Special Units,Department of Prisons & Correctional Services,State Level,"DIGP PRISON, Office",DIGP PRISON,Office,080-22262263,,9480800012,,
Special Units,Department of Prisons & Correctional Services,State Level,"SP, Admin Prisons",SP,Admin Prisons,080-22280550,,080-22262263,,spprisions@ksp.gov.in
Special Units,Department of Prisons & Correctional Services,State Level,"Addl. IG, Prisons HQ",Addl. IG,Prisons HQ,080-22263171,,9480806401,,digprisons@ksp.gov.in
Special Units,Department of Prisons & Correctional Services,State Level,"DIG, Prison Academy Of Prisons And Correction Services",DIG,Prison Academy Of Prisons And Correction Services,080-25736408,,9480806400,,
Special Units,Department of Prisons & Correctional Services,State Level,"Chief Superintendent of Academy Of Prisons And Correction Services, Office",Chief Superintendent of Academy Of Prisons And Correction Services,Office,—,,,,
Special Units,Department of Prisons & Correctional Services,State Level,"DIG Prisons Southern Range, Office",DIG Prisons Southern Range,Office,080-22545519,,9480806402,,digsouth.prisons-kar@ka.gov.in
Special Units,Department of Prisons & Correctional Services,State Level,"SP, Prisons (Prison Dept.)",SP,Prisons (Prison Dept.),080-22261131,,9480806406,,"phq.prisons-kar@gov.in, spprisions@ksp.gov.in"
Special Units,Department of Prisons & Correctional Services,State Level,"PRISON HEAD OFFICE, Office",PRISON HEAD OFFICE,Office,080-22262263,,—,,
Special Units,Department of Prisons & Correctional Services,State Level,"Chief Superintendent of Prison, Kalaburgi",Chief Superintendent of Prison,Kalaburgi,08472-212567,,212505,,cpgbg.prisons-kar@gov.in
Special Units,Department of Prisons & Correctional Services,State Level,"Asst. Superintendent of Prison, Karwar",Asst. Superintendent of Prison,Karwar,08382-226347,,9480806458,,cpkrw.prisons-kar@gov.in
Special Units,Department of Prisons & Correctional Services,State Level,"Asst. Superintendent of Prison, Tumkur",Asst. Superintendent of Prison,Tumkur,0816-2950047,,9480806423,,dptmr.prisons-kar@gov.in
Special Units,Department of Prisons & Correctional Services,State Level,"PRISON, MADIKERI",PRISON,MADIKERI,08272-228462,,9480806447,,dpmdk.prisons-kar@gov.in
