Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DGP, DCRE",DGP,DCRE,080-22258949,,22942227,,adgpcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DIGP, DCRE",DIGP,DCRE,080-22374163,,9480804102,,igpcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DDP DCRE, Office",DDP DCRE,Office,—,,9480806113,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE HQ PS, Office",DySP DCRE HQ PS,Office,080-22265794,,9480806114,,hqpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE HQ PS, Office",PI DCRE HQ PS,Office,080-22268002,,9480806115,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE HQ PS, Office",PSI DCRE HQ PS,Office,—,,9480806116,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE MTO, Office",PI DCRE MTO,Office,—,,9480806117,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI WIRELESS DCRE, Office",PI WIRELESS DCRE,Office,—,,9480806118,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE C/Room, Office",DCRE C/Room,Office,080-22268001,,9480806100,,dcrehqcontrolroom@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"AO DCRE, Office",AO DCRE,Office,080-22260827,,9480806119,,aohqdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SECTION SUPERINTENDENT, Office",SECTION SUPERINTENDENT,Office,—,,,,"ss1hqdcre@ksp.gov.in, ss2hqdcre@ksp.gov.in"
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SYSTEM ADMIN DCRE HQ, Office",SYSTEM ADMIN DCRE HQ,Office,—,,9480806120,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Bengaluru East, Office",DCRE PS Bengaluru East,Office,080-29910763,,—,,bngeastpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Bengaluru East, Office",DySP DCRE PS Bengaluru East,Office,—,,9480806121,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Bengaluru East, Office",PI DCRE PS Bengaluru East,Office,—,,9480806122,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Bengaluru East, Office",PSI DCRE PS Bengaluru East,Office,—,,9480806123,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Bengaluru West, Office",DCRE PS Bengaluru West,Office,080-29910793,,—,,bngwestpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Bengaluru West, Office",DySP DCRE PS Bengaluru West,Office,—,,9480806124,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Bengaluru West, Office",PI DCRE PS Bengaluru West,Office,—,,9480806125,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Bengaluru West, Office",PSI DCRE PS Bengaluru West,Office,—,,9480806126,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SP DCRE Central Range, Office",SP DCRE Central Range,Office,080-29910724,,9480806106,,spcrdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Bengaluru Rural, Office",DCRE PS Bengaluru Rural,Office,080-29910723,,—,,sscrdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Bengaluru Rural, Office",DySP DCRE PS Bengaluru Rural,Office,—,,9480806127,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Bengaluru Rural, Office",PI DCRE PS Bengaluru Rural,Office,—,,9480806128,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Bengaluru Rural, Office",PSI DCRE PS Bengaluru Rural,Office,—,,9480806129,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Kolar, Office",DCRE PS Kolar,Office,08152-221647,,—,,klrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Kolar, Office",DySP DCRE PS Kolar,Office,—,,9480806130,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Kolar, Office",PSI DCRE PS Kolar,Office,—,,9480806131,,
