Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"DIGP & Director, FSL",DIGP & Director,FSL,080-25532910,,22942385,,directorfsl@ksp.gov.in
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Joint Director, FSL",Joint Director,FSL,080-29918805,,6361525427,,jdadminfsl@ksp.gov.in
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Deputy Director, DNA Centre",Deputy Director,DNA Centre,080-25634892,,22943264,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Deputy Director, RFSL, Davangere",Deputy Director,"RFSL, Davangere",08192-291593,,9686616586,,"rfsldvg@ksp.gov.in, ddrfslbathi@gmail.com"
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Asst. Director, Psychology Division",Asst. Director,Psychology Division,080-22943150,,—,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Questioned Document Division, Office",Questioned Document Division,Office,080-22943350,,—,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Store Section, Office",Store Section,Office,080-22943739,,—,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Section Superintendent, Office",Section Superintendent,Office,080-22943356,,—,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Administrative Office, FSL",Administrative Office,FSL,080-25532910,,—,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"President (ADGP & Commissioner of Bengaluru City), Office",President (ADGP & Commissioner of Bengaluru City),Office,—,,9480801001,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Secretary (IGP), Office",Secretary (IGP),Office,—,,9448174755,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"President (Retd. SP), Office",President (Retd. SP),Office,080-23389797,,9448519888,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Vice-President-1 (Retd. DySP), Office",Vice-President-1 (Retd. DySP),Office,—,,9448784550,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Vice-President-2 (Retd. DySP), Office",Vice-President-2 (Retd. DySP),Office,—,,9845563322,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Secretary (Retd. DySP), Office",Secretary (Retd. DySP),Office,—,,9900844988,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Joint Secretary (Retd. DySP), Office",Joint Secretary (Retd. DySP),Office,—,,9886013214,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Treasurer (Retd. SP), Office",Treasurer (Retd. SP),Office,—,,9901089999,,
Special Units,Directorate of Forensic Science Laboratory (FSL),State Level,"Magadi Road Office, Office",Magadi Road Office,Office,080-23389797,,9606704500,,
