Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Karnataka Lokayukta,Davanagere,"SP, KLA, Davanagere",SP,"KLA, Davanagere",08192-296027,,9364062515,,Kla-spdvg_ka@nic.in
Special Units,Karnataka Lokayukta,Chitradurga,"SP, KLA, Chitradurga",SP,"KLA, Chitradurga",08194-295638,,9364062513,,"kla-spcdg-ka@nic.in, splokcta@ksp.gov.in"
Special Units,Karnataka Lokayukta,Haveri,"DySP, KLA, HAVERI",DySP,"KLA, HAVERI",08375-296021,,237167,,
Special Units,Karnataka Lokayukta,Chitradurga,"DySP, KLA, CHITRADURGA",DySP,"KLA, CHITRADURGA",08194-231530,,9364062559,,
Special Units,Karnataka Lokayukta,Davanagere,"DySP, KLA, DAVANAGERE",DySP,"KLA, DAVANAGERE",08192-236820,,9364062562,,
Special Units,State Intelligence,Davanagere,"DySP, DAVANAGERE DIVISION",DySP,DAVANAGERE DIVISION,08192-230501,,9449878525,,
Special Units,State Intelligence,Davanagere,"PI, DAVANAGERE",PI,DAVANAGERE,08192-230501,,9449878611,,
Special Units,State Intelligence,Chitradurga,"PI, CHITRADURGA",PI,CHITRADURGA,08194-222774,,9449878609,,
Special Units,Karnataka State Reserve Police (KSRP),Haveri,"Commandant, X-BN, Shiggaon-Haveri",Commandant,"X-BN, Shiggaon-Haveri",08378-255802,,RES-255300,,cmdt10bn@ksp.gov.in
Special Units,KSRP Battalions,Haveri,"Commandant, X-BN, Shiggaon-Haveri",Commandant,"X-BN, Shiggaon-Haveri",08378-255802,,255955,,cmdt10bn@ksp.gov.in
Special Units,KSRP Battalions,Haveri,"X-BN KSRP, C/Room SHIGGAON-HAVERI",X-BN KSRP,C/Room SHIGGAON-HAVERI,08378-255955,,9480805978,,ksrpcr10bn@ksp.gov.in
Special Units,Karnataka Railways Police,Davanagere,"PI, Railways, Davanagere",PI,"Railways, Davanagere",08192-259643,,9480800469,,davanagererly@ksp.gov.in
Special Units,Finger Print Bureau (FPB),Davanagere,"PI FPB, Davanagere",PI FPB,Davanagere,—,,9480803210,,
Special Units,Finger Print Bureau (FPB),Chitradurga,"PI FPB, Chitradurga",PI FPB,Chitradurga,—,,9480803178,,
Special Units,Finger Print Bureau (FPB),Haveri,"PI FPB, Haveri",PI FPB,Haveri,—,,9480804510,,
Ranges,Eastern Range – Davanagere,Davanagere,"IGP, Eastern Range",IGP,Eastern Range,08192-237830,,RES-224220,,igper@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"DySP DE, IGP Office",DySP DE,IGP Office,237829,,9480803218,,deigper@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"DySP HQ, IGP Office",DySP HQ,IGP Office,237829,,9480803219,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP FPB, IGP Office",DySP FPB,IGP Office,—,,9480800482,,
Ranges,Eastern Range – Davanagere,Davanagere,"AAO IGP Office, Office",AAO IGP Office,Office,237829,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"SP, Davanagere",SP,Davanagere,253400,,RES-223300,,spdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"Addl. SP-1, Davanagere",Addl. SP-1,Davanagere,232717,,RES-261422,,addlspdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"Addl. SP-2, Davanagere",Addl. SP-2,Davanagere,—,,9480803221,,
Ranges,Eastern Range – Davanagere,Davanagere,"District C/Room, Office",District C/Room,Office,259100,,270011,,dcdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI (W), Office",PI (W),Office,08192-253100,,9480800946,,
Ranges,Eastern Range – Davanagere,Davanagere,"Cyber Crime PS, Office",Cyber Crime PS,Office,08192-233660,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP, Davanagere City",DySP,Davanagere City,259213,,9480803220,,sdpocitydvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Vidya Nagar PS, Office",PI Vidya Nagar PS,Office,262688,,9480803251,,vidyanagardvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI K.T.J Nagar PS, Office",PI K.T.J Nagar PS,Office,259285,,9480803250,,ktjnagardvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Davanagere Extension PS, Office",PI Davanagere Extension PS,Office,272012,,9480803249,,extnddvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"CPI Davanagere Traffic Circle, Office",CPI Davanagere Traffic Circle,Office,—,,9480803237,,cpitrafficdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI South Traffic PS, Office",PSI South Traffic PS,Office,259238,,9480803253,,trafficdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI North Traffic PS, Office",PSI North Traffic PS,Office,234865,,9480803271,,trafficnorthdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Women PS, Office",PI Women PS,Office,253088,,9480803252,,womenpsdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Cyber Crime PS, Office",PSI Cyber Crime PS,Office,225119,,9480803209,,cenpsdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Azadnagar PS, Office",PI Azadnagar PS,Office,272010,,9480803245,,azadnagardvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Basavanagar PS, Office",PI Basavanagar PS,Office,272009,,9480803246,,basavanagadvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"CPI Gandhinagar Circle, Office",CPI Gandhinagar Circle,Office,—,,9480803233,,cpicitydvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-1 Gandhinagar PS, Office",PSI-1 Gandhinagar PS,Office,272011,,9480803247,,ghandinagardvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-1 RMC Yard PS, Office",PSI-1 RMC Yard PS,Office,272008,,9480803248,,rmcyarddvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"DySP, Davanagere Rural",DySP,Davanagere Rural,262550,,9480803222,,sdporuraldvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"CPI Mayakonda Circle, Office",CPI Mayakonda Circle,Office,272014,,9480803232,,cpiruraldvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Mayakonda PS, Office",PSI Mayakonda PS,Office,—,,9480803255,,mayakondadvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Hadadi PS, Office",PSI Hadadi PS,Office,218405,,9483739556,,hadadidvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Davanagere Rural PS, Office",PI Davanagere Rural PS,Office,262555,,9480803256,,ruraldvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"CPI Harihara Circle, Office",CPI Harihara Circle,Office,272016,,9480803234,,cpihariharadvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Harihara Rural PS, Office",PSI Harihara Rural PS,Office,272107,,9480803258,,harihararuraldvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Malebennuru PS, Office",PSI Malebennuru PS,Office,268758,,9480803259,,malebennurdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Harihara Town PS, Office",PI Harihara Town PS,Office,272016,,9480803257,,hariharatowndvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Jagalur, Office",PI Jagalur,Office,227329,,9480803270,,jlrdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Bilichodu PS, Office",PI Bilichodu PS,Office,248244,,9480803269,,bilichodudvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"ASP, Chennagiri",ASP,Chennagiri,229133,,9480803223,,
Ranges,Eastern Range – Davanagere,Davanagere,"CPI Santhebennuru Circle, Office",CPI Santhebennuru Circle,Office,—,,9480803230,,cpichannagiridvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Santhebennuru PS, Office",PSI Santhebennuru PS,Office,08180-256437,,9480803262,,santhebennurdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Basavapatanna PS, Office",PSI Basavapatanna PS,Office,272463,,9480803260,,basavapatnadvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Channagiri PS, Office",PI Channagiri PS,Office,228133,,9480803261,,channagiridvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Honnali PS, Office",PI Honnali PS,Office,251100,,9480803235,,honnallidvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Honnali PS, Office",PSI Honnali PS,Office,251100,,9480803263,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI Nyamathi PS, Office",PI Nyamathi PS,Office,265349,,9480803264,,nyamathidvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Nyamathi PS, Office",PSI Nyamathi PS,Office,265349,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"AAO, Office",AAO,Office,272003,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP DCRB, Office",DySP DCRB,Office,272004,,9480803223,,dcrbdvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"DySP INT, Office",DySP INT,Office,260503,,9449878525,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP ISD, Office",DySP ISD,Office,—,,9480800622,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI DSB, Office",PI DSB,Office,272002,,9480803207,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP FPB, Office",DySP FPB,Office,—,,9480800482,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI FPB, Office",PI FPB,Office,—,,9480803210,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI INT, Office",PI INT,Office,230501,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI KLA, Office",PI KLA,Office,254842,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP DAR, Office",DySP DAR,Office,272005,,9480803206,,dardvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"RPI DAR (MTO), Office",RPI DAR (MTO),Office,272005,,9480803231,,mtdardvg@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI KPTCL, Office",PI KPTCL,Office,257599,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI Railway, Office",PI Railway,Office,259643,,9480800469,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI BESCOM, Office",PI BESCOM,Office,257599,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI ISD, Office",PI ISD,Office,—,,9480800662,,
Ranges,Eastern Range – Davanagere,Davanagere,"DC, Office",DC,Office,234640,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"CEO ZP, Office",CEO ZP,Office,261485,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"DFO, Office",DFO,Office,261350,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"Comdt Home Guard, Office",Comdt Home Guard,Office,255784,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"District Session Judge, Office",District Session Judge,Office,252562,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"Fire Office, Office",Fire Office,Office,258101,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"Forest Office, Office",Forest Office,Office,261350,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"Guest House, Office",Guest House,Office,233377,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"SP, Shivamogga",SP,Shivamogga,08182-261400,,RES-261401,,spshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"Addl. SP-1, Shivamogga",Addl. SP-1,Shivamogga,08182-261402,,RES-261403,,addlspshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"Addl. SP-2, Shivamogga",Addl. SP-2,Shivamogga,08182-255277,,9480803391,,addlsp2shi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"District C/Room, Office",District C/Room,Office,08182-270521F,,261413,,dcshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI (W), Office",PI (W),Office,—,,9480800947,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP, Shivamogga",DySP,Shivamogga,261404,,9480803321,,sdposhimogashi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Kote PS, Office",PI Kote PS,Office,261415,,9480803331,,koteshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-1 Kote PS, Office",PSI-1 Kote PS,Office,261415,,9480803347,,
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-2 Kote PS, Office",PSI-2 Kote PS,Office,261415,,9480803374,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI Doddapete PS, Office",PI Doddapete PS,Office,261414,,9480803330,,doddapeteshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Doddapete PS, Office",PSI Doddapete PS,Office,—,,9480803345,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI Women PS, Office",PI Women PS,Office,227310,,9480803349,,shimogawomenshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI Women PS, Office",PSI Women PS,Office,227310,,—,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI Tunganagara PS, Office",PI Tunganagara PS,Office,261423,,9480803370,,tunganagarshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-1 Tunganagara PS, Office",PSI-1 Tunganagara PS,Office,—,,9480803377,,
Ranges,Eastern Range – Davanagere,Davanagere,"DySP Shivamogga, Office",DySP Shivamogga,Office,261410,,9480803315,,
Ranges,Eastern Range – Davanagere,Davanagere,"Cyber Crime PS, Office",Cyber Crime PS,Office,261426,,9480803383,,cenpsshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PI Vinobanagara PS, Office",PI Vinobanagara PS,Office,261424,,9480803308,,vinobanagarashi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-1 Vinobanagara PS, Office",PSI-1 Vinobanagara PS,Office,—,,9480803373,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI Jayanagara PS, Office",PI Jayanagara PS,Office,261416,,9480803348,,jayanagarashi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-1 Jayanagara PS, Office",PSI-1 Jayanagara PS,Office,—,,8277982644,,
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-2 Jayanagara PS, Office",PSI-2 Jayanagara PS,Office,—,,9480803375,,
Ranges,Eastern Range – Davanagere,Davanagere,"PI Shivamogga Rural PS, Office",PI Shivamogga Rural PS,Office,261418,,9480803332,,cpishimogaruralshi@ksp.gov.in
Ranges,Eastern Range – Davanagere,Davanagere,"PSI-1 Shivamogga Rural PS, Office",PSI-1 Shivamogga Rural PS,Office,—,,9480803350,,shimogaruralshi@ksp.gov.in
