Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Finger Print Bureau (FPB),State Level,"DySP, Central Range",DySP,Central Range,080-22942619,,9480800481,,
Special Units,Finger Print Bureau (FPB),State Level,"PI, FPB, Tumkur",PI,"FPB, Tumkur",—,,9480802910,,
Special Units,Finger Print Bureau (FPB),State Level,"DySP, Eastern Range",DySP,Eastern Range,08192-272001,,9480800482,,
Special Units,Finger Print Bureau (FPB),State Level,"DySP, Southern Range",DySP,Southern Range,—,,9480800488,,
Special Units,Finger Print Bureau (FPB),State Level,"PI FPB, Chamarajanagar",PI FPB,Chamarajanagar,—,,9480804610,,
Special Units,Finger Print Bureau (FPB),State Level,"DySP, Western Range",DySP,Western Range,—,,9480800486,,
Special Units,Finger Print Bureau (FPB),State Level,"PI FPB, Karwar",PI FPB,Karwar,—,,8277987463,,
Special Units,Finger Print Bureau (FPB),State Level,"DySP, Northern Range",DySP,Northern Range,0831-2405245,,9480800480,,
Special Units,Finger Print Bureau (FPB),State Level,"DySP, North Eastern Range",DySP,North Eastern Range,—,,9480800483,,
Special Units,Finger Print Bureau (FPB),State Level,"PI FPB, Yadagiri",PI FPB,Yadagiri,—,,9480803665,,
Special Units,Finger Print Bureau (FPB),State Level,"PSI FPB, Vijayanagar",PSI FPB,Vijayanagar,—,,9480805711,,
