Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
State Police Headquarters,Headquarters,State Level,"DG & IGP, Head of Police Force (HoPF), Karnataka State",DG & IGP,"Head of Police Force (HoPF), Karnataka State",080-22211803,080-22942999,9480800001,9448466133,police@ksp.gov.in
State Police Headquarters,Headquarters,State Level,"IGP, HQ -1",IGP,HQ -1,080-22245077,22942282,9480800024,,igphq@ksp.gov.in
State Police Headquarters,Headquarters,State Level,"DIGP, General",DIGP,General,22215641,22942360,9480800072,,digpgnl@ksp.gov.in
State Police Headquarters,Headquarters,State Level,"DIGP HQRS, Office",DIGP HQRS,Office,22943430,22279002,9480800053,,digphqco@ksp.gov.in
State Police Headquarters,Headquarters,State Level,"APRO, Office",APRO,Office,080-22943045,,9480800728,,
State Police Headquarters,Headquarters,State Level,"CAO, Office",CAO,Office,22212108,22942409,9480800033,,caoco@ksp.gov.in
State Police Headquarters,Headquarters,State Level,"DySP, PRC-I",DySP,PRC-I,22942384,22943598,9480800095,9742122990,
State Police Headquarters,Headquarters,State Level,"PI, PRC",PI,PRC,—,,9731232721,9480800094,
State Police Headquarters,Headquarters,State Level,"PI, PRC",PI,PRC,—,,9480336556,,
State Police Headquarters,Headquarters,State Level,"Legal Advisor, Office",Legal Advisor,Office,22109419,22094606-CID,9480800162-CID,9449243110,
State Police Headquarters,Headquarters,State Level,"JCF (Joint Controller Finance), Office",JCF (Joint Controller Finance),Office,22212561,22942414,9480800566,,jcfco@ksp.gov.in
State Police Headquarters,Headquarters,State Level,"DCF (Deputy Controller Finance), Office",DCF (Deputy Controller Finance),Office,22942413,,9448621989,,
State Police Headquarters,Headquarters,State Level,"TOLL FREE HELP LINE, Office",TOLL FREE HELP LINE,Office,18004250100,22942336,—,,
State Police Headquarters,Headquarters,State Level,"PA TO ADGP ADMN, Office",PA TO ADGP ADMN,Office,22942101,,9845720494,,
State Police Headquarters,Headquarters,State Level,"PA TO ADGP ADMN, Office",PA TO ADGP ADMN,Office,22942101,,9845571243,,
State Police Headquarters,Headquarters,State Level,"PA TO ADGP Cr & TS, Office",PA TO ADGP Cr & TS,Office,22942102,,9901417661,,
State Police Headquarters,Headquarters,State Level,"PATO ADGP GHR, Office",PATO ADGP GHR,Office,22942105,,9844622316,,
State Police Headquarters,Headquarters,State Level,"PA TO IGP HQRS-1, Office",PA TO IGP HQRS-1,Office,22245077,22942282,9449906124,,
State Police Headquarters,Headquarters,State Level,"PA TO DIGP ADMN, Office",PA TO DIGP ADMN,Office,22942107,22212693,9886787774,,
State Police Headquarters,Headquarters,State Level,"PA TO DIGP GENERAL, Office",PA TO DIGP GENERAL,Office,22215641,22942360,8710004369,,
State Police Headquarters,Headquarters,State Level,"PA TO DIGP HQ, Office",PA TO DIGP HQ,Office,22279002,22943430,9901882762,,
State Police Headquarters,Headquarters,State Level,"AAO HRM-I, Office",AAO HRM-I,Office,22942837,,9448703385,,
State Police Headquarters,Headquarters,State Level,"AAO HRM-II, Office",AAO HRM-II,Office,22942826,,9632963754,,
State Police Headquarters,Headquarters,State Level,"AAO GC, BUILDING, ABY SECTION",AAO GC,"BUILDING, ABY SECTION",22942833,,9886506419,,
State Police Headquarters,Headquarters,State Level,"AAO Cr & TS, Office",AAO Cr & TS,Office,22943390,,9036185986,,
