Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"DGP & Director General, Fire & Emergency Services / Commandant General Home Guards / Director General SDRF / Director Civil Defence",DGP & Director General,Fire & Emergency Services / Commandant General Home Guards / Director General SDRF / Director Civil Defence,080-25570733,080-22942108,9480823601,,dgp.ksfes@ksp.gov.in
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"ADGP, Fire & Emergency Services & SDRF",ADGP,Fire & Emergency Services & SDRF,080-22971567,080-25575575,9448461144,,adgp.ksfes@ka.gov.in
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"DIGP, Fire & Emergency Services",DIGP,Fire & Emergency Services,080-22971505,,9480823603,,digp.ksfes@ka.gov.in
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"DIGP & Additional Commandant General, Home Guards",DIGP & Additional Commandant General,Home Guards,080-25573333,,9448021663,,adgphgcdban@gmail.com
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Deputy Commandant General, Home Guards",Deputy Commandant General,Home Guards,080-25573553,,,,dcghgcd935@gmail.com
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Commandant, Home Guards & Civil Defence Academy",Commandant,Home Guards & Civil Defence Academy,080-25541505,,9448797990,,comdthgcd@gmail.com
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Chief Fire Officer East, Office",Chief Fire Officer East,Office,080-22971513,,9448100177,,cfoblreast@gmail.com
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Commandant, Fire & Emergency Services Training",Commandant,Fire & Emergency Services Training,080-29564055,,9448100177,,cfireacademy@gmail.com
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Chief Fire Officer West, Office",Chief Fire Officer West,Office,080-22971523,,9449478178,,cfobngwestksfes@gmail.com
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Deputy Director (Administration), Office",Deputy Director (Administration),Office,080-22971507,,9449549823,,dda.ksfes@ka.gov.in
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Director, Fire Service",Director,Fire Service,080-25540656,,9448132101,,director.ksfes@ka.gov.in
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Deputy Director (Technical), Office",Deputy Director (Technical),Office,080-25544042,,8277007351,,ddt.ksfes@ka.gov.in
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"City Fire C/Room, Office",City Fire C/Room,Office,080-22971500,,600,,
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Home Guards C/Room, Office",Home Guards C/Room,Office,080-25553234,,,,hgcdhqrsban@gmail.com
Special Units,"Home, Civil Defence, Fire & Emergency Services",State Level,"Civil Defence C/Room, Office",Civil Defence C/Room,Office,080-22267920,,,,
