Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
State Police Headquarters,Officers on State Deputation,Hubballi-Dharwad City,"SP, HESCOM, Hubballi",SP,"HESCOM, Hubballi",0836-2361034,,9448356984,,sp_vigilance@yahoo.com
Special Units,Police Training Institutions,Hubballi-Dharwad City,"Principal, PTS, Hubballi-Dharwad",Principal,"PTS, Hubballi-Dharwad",0836-2233248,,0836-2233259,,ptshdc@ksp.gov.in
Special Units,"Communication, Logistics & Modernisation",Hubballi-Dharwad City,"ACP(W), Hubballi City",ACP(W),Hubballi City,0836-2233421,,0836-2233555,,
Special Units,Karnataka Railways Police,Hubballi-Dharwad City,"DySP, Railways Hubballi Sub-Division",DySP,Railways Hubballi Sub-Division,0836-2233510,,9480800462,,sdpohublirly@ksp.gov.in
Special Units,Karnataka Railways Police,Hubballi-Dharwad City,"CPI, Railways, Hubballi",CPI,"Railways, Hubballi",0836-2364751,,9480800468,,cpihublirly@ksp.gov.in
Special Units,Finger Print Bureau (FPB),Hubballi-Dharwad City,"ACP, FPB, Hubballi-Dharwad",ACP,"FPB, Hubballi-Dharwad",0836-2233539,,9480800484,,
Special Units,Directorate of Forensic Science Laboratory (FSL),Hubballi-Dharwad City,"Deputy Director, RFSL, Hubballi",Deputy Director,"RFSL, Hubballi",0836-2233488,,9620513276,,ddrfslhubballi@gmail.com
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DCP Law & Order, Office",DCP Law & Order,Office,0836-2233501,,RES-2233401,,dcplohdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DCP CAR, Office",DCP CAR,Office,2233503,,RES-2233403,,dcpcarhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DCP Crime & Traffic, Office",DCP Crime & Traffic,Office,0836-2233502,,RES-2233402,,dcpcrimehdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"ACP (W) Hubballi City, Office",ACP (W) Hubballi City,Office,2233421,,2233555,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"City C/Room Hubballi-Dharwad, Office",City C/Room Hubballi-Dharwad,Office,2233555,,2233521,,ccrhub@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Wireless, Office",PI Wireless,Office,2233421,,9480800928,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"ACP South Hubballi, Office",ACP South Hubballi,Office,2233507,,9480802011,,acpsouthhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Town Hubballi PS, Office",PI Town Hubballi PS,Office,2233540,,9480802021,,townhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Ghantikeri PS, Office",PI Ghantikeri PS,Office,2233527,,9480802022,,ghantikerihdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Kasabapeth PS, Office",PI Kasabapeth PS,Office,2233536,,9480802023,,kasabapethhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Old Hubballi PS, Office",PI Old Hubballi PS,Office,2233541,,9480802024,,oldhublihdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Bendigeri PS, Office",PI Bendigeri PS,Office,2233526,,9480802025,,bendigerihdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"ACP North Hubballi, Office",ACP North Hubballi,Office,2233505,,9480802012,,acpnorthhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Keshwapur PS, Office",PI Keshwapur PS,Office,2233518,,9480802026,,keshwapurhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Vidya Nagar PS, Office",PI Vidya Nagar PS,Office,2233516,,9480802027,,vidyanagarhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Kamaripeth PS, Office",PI Kamaripeth PS,Office,2233519,,9480802028,,kamaripethhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Sub-Urban PS, Office",PI Sub-Urban PS,Office,2233517,,9480802030,,suburbanhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Women PS, Office",PI Women PS,Office,2233514,,9480802031,,womenhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Ashok Nagar PS, Office",PI Ashok Nagar PS,Office,2233490,,9480802038,,ashoknagarhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI APMC Navanagar PS, Office",PI APMC Navanagar PS,Office,2233492,,9480802039,,apmcnavanagarhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Gokul Road PS, Office",PI Gokul Road PS,Office,2233252,,9480802047,,gokulroadhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"ACP Cyber Crime PS, Office",ACP Cyber Crime PS,Office,2233567,,—,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"Cyber Crime PS, Office",Cyber Crime PS,Office,2233567,,9480802042,,"cenhdc@ksp.gov.in, cybercrimehdc@ksp.gov.in"
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"ACP Dharwad, Office",ACP Dharwad,Office,2233506,,9480802014,,acpdwdhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Dharwad Town PS, Office",PI Dharwad Town PS,Office,2233512,,9480802032,,dwdtownhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Sub-Urban PS, Office",PI Sub-Urban PS,Office,2233511,,9480802033,,dwdsurhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Vidyagiri PS, Office",PI Vidyagiri PS,Office,2233513,,9480802034,,vidyagirihdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"ACP Traffic, Office",ACP Traffic,Office,2233504,,9480802013,,acptraffichdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Traffic North PS, Office",PI Traffic North PS,Office,2233515,,9480802035,,northtraffichdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Traffic South PS, Office",PI Traffic South PS,Office,2233538,,9480802036,,southtraffichdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Traffic East PS, Office",PI Traffic East PS,Office,2233543,,9480802040,,easttraffichdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Traffic Dharwad PS, Office",PI Traffic Dharwad PS,Office,2233542,,9480802037,,dwdtraffichdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"RPI CAR, Office",RPI CAR,Office,2233523,,2233522,,carhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"RPI MTO CAR, Office",RPI MTO CAR,Office,2233524,,9480802045,,mtcarhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"AAO, Office",AAO,Office,2233528,,9480802046,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"ACP FPB, Office",ACP FPB,Office,2233539,,9480800484,,fpuhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DySP Railway, Office",DySP Railway,Office,2233510,,9480800462,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DySP INT, Office",DySP INT,Office,2371302,,9449878526,,dspint@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DySP, Office",DySP,Office,—,,9480800624,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DySP CCRB, Office",DySP CCRB,Office,—,,9480802015,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI ISD, Office",PI ISD,Office,2774934,,9480800696,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI CCB-I, Office",PI CCB-I,Office,2233535,,—,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI CSB, Office",PI CSB,Office,2233533,,9480802041,,csbhdc@ksp.gov.in
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"RPI CAR, Office",RPI CAR,Office,2233523,,9480802044,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"RPI MTO CAR, Office",RPI MTO CAR,Office,2233524,,9480802045,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI Railway, Office",PI Railway,Office,2233597,,9480800468,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"PI ISD, Office",PI ISD,Office,2774933,,9480800696,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"Central Jail, Office",Central Jail,Office,2447428,,—,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"Training School, Office",Training School,Office,2233249,,—,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"Technical Cell, Office",Technical Cell,Office,2233485,,—,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"WhatsApp Number, Office",WhatsApp Number,Office,—,,9480802002,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"CMDT. Home Guard, Office",CMDT. Home Guard,Office,2442496,,—,,
Commissionerates,Hubballi–Dharwad City,Hubballi-Dharwad City,"DC Dharwad, Office",DC Dharwad,Office,2233888,,2233840,,
