Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Internal Security Division (ISD),State Level,"DGP, ISD",DGP,ISD,080-22943816,,25304575,,dgisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"ADGP, ISD",ADGP,ISD,080-22943812,,25303900,,adgpis@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"IGP, Counter Intelligence and Investigation",IGP,Counter Intelligence and Investigation,080-22943812,,9480800055,,
Special Units,Internal Security Division (ISD),State Level,"IGP, Operation, ISD",IGP,"Operation, ISD",080-25302070,,080-22943801,,igpisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"IGP, Security Division, ISD",IGP,"Security Division, ISD",080-22943813,,9480800603,,igpisdsecurity@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"DIGP, Commander, ANF ISD",DIGP,"Commander, ANF ISD",—,,,,digpanf@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"DIGP, Admin ISD",DIGP,Admin ISD,080-22943811,,25592733,,digpis@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"SP, HQ ISD",SP,HQ ISD,080-22943824,,25592736,,sphqisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"Director CCT, ISD",Director CCT,ISD,080-22943818,,25593961,,dircctisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"SP, ISD, B’luru City",SP,"ISD, B’luru City",080-22346789,,9480800609,,spbcpcrerisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"SP, SR/WR, ISD",SP,"SR/WR, ISD",0824-2423600,,9480800612,,spwrsrisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"SP, ANF, Karkala",SP,"ANF, Karkala",08258-233888,,9480800510,,spanf@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"SP, Admin, ISD",SP,"Admin, ISD",080-25592737,,22943817,,spadminisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"DEPUTY COMMANDANT KSISF-I & METRO QRT, Office",DEPUTY COMMANDANT KSISF-I & METRO QRT,Office,080-22942291,,29791560-C,,crksisf@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"SP, Center for Counter Terrorism (CCT), ISD",SP,"Center for Counter Terrorism (CCT), ISD",080-25746151,,9480800605,,spcct@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"PI (WIRELESS) ISD, Office",PI (WIRELESS) ISD,Office,080-22943801,,080-25596006,,
Special Units,Internal Security Division (ISD),State Level,"ISD C/Room, Office",ISD C/Room,Office,080-22943801,,25596006,,crisd@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"CSP C/Room, Office",CSP C/Room,Office,0820-2538100,,9480800573,,cspudp@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"CCT C/Room, Office",CCT C/Room,Office,080-29526151,,9480800672,,crcct@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"ANF C/Room, Office",ANF C/Room,Office,08258-233111,,9480800521,,cranf@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"KSISF 1 st BN, C/Room",KSISF 1 st BN,C/Room,080-29791560,,22943270,,crksisf@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"KSISF 2 nd BN, C/Room",KSISF 2 nd BN,C/Room,08182-291100,,9480800648,,crksisf2@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"KSISF 3 rd BN, C/Room",KSISF 3 rd BN,C/Room,0836-2777799,,—,,cr3btnksisf@ksp.gov.in
Special Units,Internal Security Division (ISD),State Level,"DySP, ISD ADMIN",DySP,ISD ADMIN,—,,9480800617,,
Special Units,Internal Security Division (ISD),State Level,"DySP, ISD SECURITY AUDIT",DySP,ISD SECURITY AUDIT,—,,9480800618,,
