Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,KSRP Battalions,State Level,"Assistant Commandant, I-BN",Assistant Commandant,I-BN,22942135,,9480805826,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, I-BN",Assistant Commandant,I-BN,22942131,,9480805828,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, I-BN",Assistant Commandant,I-BN,22942133,,9480805827,,
Special Units,KSRP Battalions,State Level,"KSRP SOCIETY & CPC CANTEEN, Office",KSRP SOCIETY & CPC CANTEEN,Office,25505959,,—,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, II-BN",Assistant Commandant,II-BN,0831-2412626,,9480805829,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, II-BN",Assistant Commandant,II-BN,0831-2412165,,9480805830,,
Special Units,KSRP Battalions,State Level,"Deputy Commandant, III-BN",Deputy Commandant,III-BN,—,,,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, III-BN",Assistant Commandant,III-BN,22942127,,9480805832,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, III-BN",Assistant Commandant,III-BN,22943640,,9480805834,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, III-BN",Assistant Commandant,III-BN,22942129,,9480805833,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, IV-BN",Assistant Commandant,IV-BN,080-22942125,,9480805836,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, IV-BN",Assistant Commandant,IV-BN,22943687,,9480805835,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, IV-BN",Assistant Commandant,IV-BN,22942120,,9480805837,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, V-BN",Assistant Commandant,V-BN,0821-2418721,,9480805839,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, V-BN",Assistant Commandant,V-BN,0821-2418626,,9480805838,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, V-BN",Assistant Commandant,V-BN,—,,9480805840,,
Special Units,KSRP Battalions,State Level,"Deputy Commandant, VI-BN",Deputy Commandant,VI-BN,—,,9480805844,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, VI-BN",Assistant Commandant,VI-BN,—,,9480805843,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, VII-BN",Assistant Commandant,VII-BN,0824-2220551,,9480805845,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, VII-BN",Assistant Commandant,VII-BN,0824-2220547,,9480805846,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, VII-BN",Assistant Commandant,VII-BN,0824-2220554,,9480805847,,
Special Units,KSRP Battalions,State Level,"Deputy Commandant, VIII-BN",Deputy Commandant,VIII-BN,—,,,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, VIII-BN",Assistant Commandant,VIII-BN,08182-246192,,9480805851,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, VIII-BN",Assistant Commandant,VIII-BN,08182-246193,,9480805850,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, IX-BN",Assistant Commandant,IX-BN,25741602,,9480805853,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, IX-BN",Assistant Commandant,IX-BN,25741603,,9480805855,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, IX-BN",Assistant Commandant,IX-BN,25741605,,9480805857,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, IX-BN",Assistant Commandant,IX-BN,—,,9480805856,,
Special Units,KSRP Battalions,State Level,"IX-BN KSRP, C/Room KOODLU",IX-BN KSRP,C/Room KOODLU,28440661,,9480800857,,ksrpcr9bn@ksp.gov.in
Special Units,KSRP Battalions,State Level,"Assistant Commandant, X-BN",Assistant Commandant,X-BN,08378-255966,,9480805858,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, X-BN",Assistant Commandant,X-BN,—,,9480805859,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, X-BN",Assistant Commandant,X-BN,—,,9480805860,,
Special Units,KSRP Battalions,State Level,"Deputy Commandant, XI-BN",Deputy Commandant,XI-BN,08172-200781,,9480805818,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, XI-BN",Assistant Commandant,XI-BN,—,,9480805862,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, XI-BN",Assistant Commandant,XI-BN,—,,9480805865,,
Special Units,KSRP Battalions,State Level,"Commandant, XII-BN, Tumkur",Commandant,"XII-BN, Tumkur",08138-200590,,9480800843,,cmdt12bn@ksp.gov.in
Special Units,KSRP Battalions,State Level,"Deputy Commandant, XII-BN",Deputy Commandant,XII-BN,—,,9480800844,,
Special Units,KSRP Battalions,State Level,"Assistant Commandant, XII-BN",Assistant Commandant,XII-BN,—,,9480801581,,
Special Units,KSRP Battalions,State Level,"AAO, XII-BN",AAO,XII-BN,08138-200585,,—,,
Special Units,KSRP Battalions,State Level,"XII-BN KSRP, C/Room TUMAKUR",XII-BN KSRP,C/Room TUMAKUR,08138-200580,,9480801582,,ksrpcr12bn@ksp.gov.in
