Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Karnataka Lokayukta,State Level,"Hon’ble Lokayuktha, Office",Hon’ble Lokayuktha,Office,080-22257638,,RES-22207773,,kla.kar@nic.in
Special Units,Karnataka Lokayukta,State Level,"Hon’ble Upalokayuktha-I, Office",Hon’ble Upalokayuktha-I,Office,22343747,,RES-23512269,,kla-kula1-ka@nic.in
Special Units,Karnataka Lokayukta,State Level,"Hon’ble Upalokayuktha-II, Office",Hon’ble Upalokayuktha-II,Office,22259499,,9008430096,,kla-kula2-ka@nic.in
Special Units,Karnataka Lokayukta,State Level,"ADGP, KLA",ADGP,KLA,22942229,,22353754,,kla-adg@nic.in
Special Units,Karnataka Lokayukta,State Level,"IGP, KLA",IGP,KLA,22943669,,22011327,,kla.igp-ka@karnataka.gov.in
Special Units,Karnataka Lokayukta,State Level,"Registrar, KLA",Registrar,KLA,22251394,,9448477772,,kla-reg@nic.in
Special Units,Karnataka Lokayukta,State Level,"Deputy Registrar, Admin-1",Deputy Registrar,Admin-1,22353823,,22257013,,kla-dra1-ka@gov.in
Special Units,Karnataka Lokayukta,State Level,"Deputy Registrar, Admin-2",Deputy Registrar,Admin-2,22011270,,9663982799,,kla-dra2-ka@gov.in
Special Units,Karnataka Lokayukta,State Level,"Deputy Director (Statistics), Office",Deputy Director (Statistics),Office,22011296,,22011295,,kla.jds@nic.in
Special Units,Karnataka Lokayukta,State Level,"KLA EXCHANGE, Office",KLA EXCHANGE,Office,22011289,,22011052,,
Special Units,Karnataka Lokayukta,State Level,"SP Bengaluru City-II, KLA",SP Bengaluru City-II,KLA,080-22011273,,9364062505,,
Special Units,Karnataka Lokayukta,State Level,"SP Scrutiny, KLA",SP Scrutiny,KLA,080-22342101,,22011392,,kla-sp4-ka@ka.gov.in
Special Units,Karnataka Lokayukta,State Level,"SP Bengaluru City-I, KLA",SP Bengaluru City-I,KLA,22011206,,22011205,,kla-citysp-ka@nic.in
Special Units,Karnataka Lokayukta,State Level,"SP Admin, KLA",SP Admin,KLA,080-22011259,,22011260,,kla-sp@nic.in
Special Units,Karnataka Lokayukta,State Level,"SP, KLA, Ramanagar",SP,"KLA, Ramanagar",080-27276066,,29916006,,kla-spramngr-ka@nic.in
Special Units,Karnataka Lokayukta,State Level,"SP Enquiries, KLA",SP Enquiries,KLA,080-22342102,,22011505,,kla_spbangalore_ka@ka.gov.in
Special Units,Karnataka Lokayukta,State Level,"SP, KLA, Tumkur",SP,"KLA, Tumkur",0816-2950332,,2278540,,kla-sptkr-ka@nic.in
Special Units,Karnataka Lokayukta,State Level,"SP, KLA, Karwar",SP,"KLA, Karwar",08382-295293,,08382-220198,,kla-kwrsp-ka@nic.in
Special Units,Karnataka Lokayukta,State Level,"SP, KLA (Co-Ordination & Training)",SP,KLA (Co-Ordination & Training),080-22011287,,9364062503,,
Special Units,Karnataka Lokayukta,State Level,"SP, KLA, Kalaburgi",SP,"KLA, Kalaburgi",08472-295364,,9364062519,,kla-gbasp-ka@nic.in
Special Units,Karnataka Lokayukta,State Level,"SP, KLA, Yadagiri",SP,"KLA, Yadagiri",08473-253355,,253802,,"spklayadagir@gmail.com, kla-spydr-ka@nic.in"
Special Units,Karnataka Lokayukta,State Level,"DySP, KLA, HOSPETE",DySP,"KLA, HOSPETE",—,,9364062632,,
Special Units,Karnataka Lokayukta,State Level,"DySP, KLA, KARWAR",DySP,"KLA, KARWAR",08382-222202,,220198,,
Special Units,Karnataka Lokayukta,State Level,"DySP, KLA, VIJAYANAGAR",DySP,"KLA, VIJAYANAGAR",08394-295206,,9364062553,,
Special Units,Karnataka Lokayukta,State Level,"DySP, KLA, YADAGIRI",DySP,"KLA, YADAGIRI",08473-250077,,9364062589,,
