Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Karnataka Police Academy (KPA),State Level,"DIGP & Director, KPA",DIGP & Director,KPA,0821-2418627,,2522057,,directorkpa@ksp.gov.in
Special Units,Karnataka Police Academy (KPA),State Level,"Deputy Director, KPA",Deputy Director,KPA,0821-2564297,,0821-2418628,,ddkpa@ksp.gov.in
Special Units,Karnataka Police Academy (KPA),State Level,"Asst. Director (Training), Office",Asst. Director (Training),Office,—,,9480800333,,
Special Units,Karnataka Police Academy (KPA),State Level,"Asst. Director (ICT/FS), Office",Asst. Director (ICT/FS),Office,—,,9480800335,,idnodelkpa@ksp.gov.in
Special Units,Karnataka Police Academy (KPA),State Level,"Asst. Director (Works), Office",Asst. Director (Works),Office,0821-2418629,,9480800334,,
Special Units,Karnataka Police Academy (KPA),State Level,"Asst. Director (Outdoor), Office",Asst. Director (Outdoor),Office,0821-2418633,,—,,adoutdoorkpa@ksp.gov.in
Special Units,Karnataka Police Academy (KPA),State Level,"Asst. Director (FPB), Office",Asst. Director (FPB),Office,—,,9480800340,,
Special Units,Karnataka Police Academy (KPA),State Level,"Asst. Director (H&S), Office",Asst. Director (H&S),Office,0821-2418734,,9480800336,,
Special Units,Karnataka Police Academy (KPA),State Level,"Asst. Director (SC), Office",Asst. Director (SC),Office,—,,9980128562,,
Special Units,Karnataka Police Academy (KPA),State Level,"DD Prosecution-1, Office",DD Prosecution-1,Office,—,,9980624374,,
Special Units,Karnataka Police Academy (KPA),State Level,"DD Prosecution-2, Office",DD Prosecution-2,Office,0821-2418630,,9480800337,,
Special Units,Karnataka Police Academy (KPA),State Level,"CHC, System Admin",CHC,System Admin,—,,9480806073,,kpasysadm@ksp.gov.in
Special Units,Karnataka Police Academy (KPA),State Level,"FSL LAB, Office",FSL LAB,Office,0821-2418631,,—,,
Special Units,Karnataka Police Academy (KPA),State Level,"AAO, Office",AAO,Office,0821-2418636 (O),,0821-2520980,,kpamyc@ksp.gov.in
Special Units,Karnataka Police Academy (KPA),State Level,"LIBRARY, Office",LIBRARY,Office,0821-2418635,,—,,
Special Units,Karnataka Police Academy (KPA),State Level,"KPA, NEW MESS",KPA,NEW MESS,0821-2418637,,—,,
Special Units,Karnataka Police Academy (KPA),State Level,"KPA, GUEST HOUSE",KPA,GUEST HOUSE,0821-2418638,,—,,
Special Units,Karnataka Police Academy (KPA),State Level,"SENIOR POLICE OFFICERS HOTEL (SANGAMA), Office",SENIOR POLICE OFFICERS HOTEL (SANGAMA),Office,0821-2418729,,—,,
Special Units,Karnataka Police Academy (KPA),State Level,"HOSALLI & NETHRAVATHI GUEST HOUSE, Office",HOSALLI & NETHRAVATHI GUEST HOUSE,Office,0821-2418730,,—,,
