Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Karnataka Railways Police,State Level,"DIGP, Railways",DIGP,Railways,080-22102659,,22942279,,igprly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"SP, Railways",SP,Railways,080-22942351,,22872149,,sprly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"Railway Police C/Room, Office",Railway Police C/Room,Office,080-22942666,,22871291,,dcrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"RPF C/Room, Office",RPF C/Room,Office,080-22871245,,7022627070,,
Special Units,Karnataka Railways Police,State Level,"AAO, Office",AAO,Office,080-22942843,,—,,aaorly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) SBC, Bangalore City",PSI (L&O) SBC,Bangalore City,080-22371057,,9480802113,,blorecityrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (Crime) SBC, Bangalore City",PSI (Crime) SBC,Bangalore City,080-22371057,,9480802112,,blorecityrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI Traffic-1 SBC, Bangalore City",PSI Traffic-1 SBC,Bangalore City,080-22371057,,9480802115,,blorecityrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI Traffic-2 SBC, Bangalore City",PSI Traffic-2 SBC,Bangalore City,080-22371057,,9480802114,,blorecityrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) BR, Yeshvanthapur",PSI (L&O) BR,Yeshvanthapur,080-23376404,,22942719,,bloreruralrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (Crime) BR, Yeshvanthapur",PSI (Crime) BR,Yeshvanthapur,080-23376404,,22942719,,bloreruralrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) BNC, Cantonment",PSI (L&O) BNC,Cantonment,080-22266260,,22942212,,blorecantrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (Crime) BNC, Cantonment",PSI (Crime) BNC,Cantonment,080-22266260,,22942212,,blorecantrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O), Bayappanahalli",PSI (L&O),Bayappanahalli,080-25460851,,22943509,,byapanahallirly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI Traffic, Bayappanahalli",PSI Traffic,Bayappanahalli,080-25460851,,22943509,,byapanahallirly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Banagarapete, Office",PSI (L&O) Banagarapete,Office,08153-255304,,9480802120,,bangarapeterly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Mysuru, Office",PSI (L&O) Mysuru,Office,0821-2516879,,9480802122,,mysorerly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Arasikere, Office",PSI (L&O) Arasikere,Office,08174-232244,,9480802125,,arasikererly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Shivamogga, Office",PSI (L&O) Shivamogga,Office,08182-222974,,9480802124,,shimogarly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Mangaluru, Office",PSI (L&O) Mangaluru,Office,0824-2220559,,9480802121,,mangalorerly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Davanagere, Office",PSI (L&O) Davanagere,Office,08192-259643,,9480802123,,davangererly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Hubballi, Office",PSI (L&O) Hubballi,Office,0836-2364757,,9480802126,,hublirly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Belagavi, Office",PSI (L&O) Belagavi,Office,0831-2405273,,9480802127,,belgaumrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Gadag, Office",PSI (L&O) Gadag,Office,08372-278744,,9480802128,,gadagrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Vijayapura, Office",PSI (L&O) Vijayapura,Office,08352-250883,,9480802129,,bijapurrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (Crime) Vijayapura, Office",PSI (Crime) Vijayapura,Office,08352-250883,,—,,bijapurrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Raichur, Office",PSI (L&O) Raichur,Office,08532-231716,,9480802111,,raichurrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Ballari, Office",PSI (L&O) Ballari,Office,08392-276063,,9480802131,,bellaryrly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Wadi, Office",PSI (L&O) Wadi,Office,08476-202244,,9480802132,,wadirly@ksp.gov.in
Special Units,Karnataka Railways Police,State Level,"PSI (L&O) Bidar, Office",PSI (L&O) Bidar,Office,08482-226389,,9480802133,,bidarrly@ksp.gov.in
