Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Karnataka State Reserve Police (KSRP),State Level,"ADGP, KSRP",ADGP,KSRP,080-22213351,,22942104,,adgpksrp@ksp.gov.in
Special Units,Karnataka State Reserve Police (KSRP),State Level,"IGP, KSRP",IGP,KSRP,080-22942247,,22211424,,igpksrp@ksp.gov.in
Special Units,Karnataka State Reserve Police (KSRP),State Level,"DIGP, KSRP, HQ",DIGP,"KSRP, HQ",080-22215259,,22942290,,digpksrp@ksp.gov.in
Special Units,Karnataka State Reserve Police (KSRP),State Level,"DIGP KSRP Training, Office",DIGP KSRP Training,Office,—,,,,digptrgksrphq@ksp.gov.in
Special Units,Karnataka State Reserve Police (KSRP),State Level,"DIGP KSRP CENTRAL (BENGALURU) ZONE, Office",DIGP KSRP CENTRAL (BENGALURU) ZONE,Office,080-22943680,,22943142,,
Special Units,Karnataka State Reserve Police (KSRP),State Level,"DIGP KSRP MYSURU ZONE, Office",DIGP KSRP MYSURU ZONE,Office,—,,7483645781,,
Special Units,Karnataka State Reserve Police (KSRP),State Level,"Commandant, XII-BN, Tumkur",Commandant,"XII-BN, Tumkur",08138-200590,,200580,,cmdt12bn@ksp.gov.in
Special Units,Karnataka State Reserve Police (KSRP),State Level,"DIGP KSRP BELAGAVI ZONE, Office",DIGP KSRP BELAGAVI ZONE,Office,—,,7483645658,,
Special Units,Karnataka State Reserve Police (KSRP),State Level,"DIGP IRB AVATHI ZONE, Office",DIGP IRB AVATHI ZONE,Office,9480800829- C,,R,,
Special Units,Karnataka State Reserve Police (KSRP),State Level,"DIGP IRB, MUNIRABAD ZONE",DIGP IRB,MUNIRABAD ZONE,9480805991,,2 C,,digpirbm@gmail.com
Special Units,Karnataka State Reserve Police (KSRP),State Level,"Commandant, IRB, Munirabad",Commandant,"IRB, Munirabad",—,,9480805812,,cmdtirb@ksp.gov.in
Special Units,Karnataka State Reserve Police (KSRP),State Level,"SP, KSRP, Training School, Munirabad",SP,"KSRP, Training School, Munirabad",9480804286 C,,R,,ksrpts@ksp.gov.in
