Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
State Police Headquarters,Officers on State Deputation,Kalaburagi,"SP, GESCOM, Kalaburagi",SP,"GESCOM, Kalaburagi",08472-256738,,256842,,gescomsp@gmail.com
Special Units,Internal Security Division (ISD),Kalaburagi,"SP, ISD, North-Eastern Range, Kalaburagi",SP,"ISD, North-Eastern Range, Kalaburagi",08472-262521,,9480800611,,spisdner@ksp.gov.in
Special Units,Karnataka Lokayukta,Bidar,"DySP, KLA, BIDAR",DySP,"KLA, BIDAR",08482-295445,,9364062571,,
Special Units,Karnataka Lokayukta,Kalaburagi,"DySP, KLA, KALABURAGI",DySP,"KLA, KALABURAGI",08472-295364,,9364062569,,
Special Units,Police Training Institutions,Kalaburagi,"DIGP & Principal, PTC, Kalaburagi (Nagenahalli)",DIGP & Principal,"PTC, Kalaburagi (Nagenahalli)",08472-298321,,298323,,"principalptcklb@ksp.gov.in, ptcklb@ksp.gov.in"
Special Units,Police Training Institutions,Kalaburagi,"Vice Principal, PTC, Kalaburagi",Vice Principal,"PTC, Kalaburagi",08472-298323,,9480800314,,ptcklb@ksp.gov.in
Special Units,Department of Prisons & Correctional Services,Bidar,"Asst. Superintendent of Prison, Bidar",Asst. Superintendent of Prison,Bidar,08482-228225,,9480806504,,dpbdr-prisons-kar@gov.in
Special Units,State Intelligence,Kalaburagi,"DySP, KALABURAGI DIVISION",DySP,KALABURAGI DIVISION,08472-263650,,9449878614,,
Special Units,State Intelligence,Bidar,"PI, BIDAR",PI,BIDAR,08482-225179,,9449878605,,
Special Units,Karnataka State Reserve Police (KSRP),Kalaburagi,"Commandant, VI-BN, Kalaburagi",Commandant,"VI-BN, Kalaburagi",08472-212026,,212196,,cmdt6bn@ksp.gov.in
Special Units,KSRP Battalions,Kalaburagi,"Commandant, VI-BN, Kalaburagi",Commandant,"VI-BN, Kalaburagi",08472-212062,,212196,,cmdt6bn@ksp.gov.in
Special Units,KSRP Battalions,Kalaburagi,"VI-BN KSRP, C/Room KALABURAGI",VI-BN KSRP,C/Room KALABURAGI,08472-212336,,9480805936,,ksrpcr6bn@ksp.gov.in
Special Units,Finger Print Bureau (FPB),Kalaburagi,"PI FPB, Kalaburagi",PI FPB,Kalaburagi,—,,9480803510,,
Special Units,Finger Print Bureau (FPB),Bidar,"PSI FPB, Bidar",PSI FPB,Bidar,—,,9480803409,,
Special Units,Directorate of Forensic Science Laboratory (FSL),Kalaburagi,"Deputy Director, RFSL, Kalaburagi",Deputy Director,"RFSL, Kalaburagi",08472-298040,,298048,,rfslgba@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"CP, Kalaburagi City",CP,Kalaburagi City,248500,,9480805501,,copkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"DCP Law & Order, Office",DCP Law & Order,Office,248111,,9480805502,,dcplokbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"DCP Crime & Traffic, Office",DCP Crime & Traffic,Office,228298,,9480805503,,dcpctkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI (W) City C/Room, Office",PI (W) City C/Room,Office,—,,9480805533,,citycontrol0053@gmail.com
Commissionerates,Kalaburagi City,Kalaburagi,"City C/Room Kalaburagi City, Office",City C/Room Kalaburagi City,Office,228112,,228113,,citycontrolkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"AAO, Office",AAO,Office,258112,,9480805540,,aaokbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"ACP CEN, Office",ACP CEN,Office,248221,,9480805532,,
Commissionerates,Kalaburagi City,Kalaburagi,"PI Cyber Crime PS, Office",PI Cyber Crime PS,Office,248221,,9449077100,,cenkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"ASP South Sub-Division, Office",ASP South Sub-Division,Office,263615,,9480805511,,acpakbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Station Bazar PS, Office",PI Station Bazar PS,Office,263616,,9480805521,,stationbazarkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Ashok Nagar PS, Office",PI Ashok Nagar PS,Office,263617,,9480805520,,ashoknagarkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Brahmpur PS, Office",PI Brahmpur PS,Office,263618,,9480805522,,brahmpurkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI R.G. Nagar PS, Office",PI R.G. Nagar PS,Office,263619,,9480805523,,rgnagarkcp@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"ACP North Sub-Division, Office",ACP North Sub-Division,Office,263621,,9480805512,,acpbkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Chowk PS, Office",PI Chowk PS,Office,263622,,9480805524,,chowkkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Roza PS, Office",PI Roza PS,Office,263623,,9480805525,,rozakbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI M B Nagar PS, Office",PI M B Nagar PS,Office,263628,,9480805526,,mbnagarkcp@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Women PS, Office",PI Women PS,Office,227550,,8277972446,,womenkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"ACP Sub-Urban Sub-Division, Office",ACP Sub-Urban Sub-Division,Office,263627,,9480805513,,acpckbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Sub Urban PS, Office",PI Sub Urban PS,Office,263631,,9480805528,,graminkcp@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI University PS, Office",PI University PS,Office,263629,,9480805527,,universitykcp@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Fartabad PS, Office",PI Fartabad PS,Office,213033,,9480805529,,farthabadkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"ACP Traffic Sub-Division, Office",ACP Traffic Sub-Division,Office,248080,,9480805514,,acptraffickbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Traffic-1 PS, Office",PI Traffic-1 PS,Office,263625,,9480805530,,addltraffc-1kcp@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI Traffic-2 PS, Office",PI Traffic-2 PS,Office,263624,,9480805531,,traffic-2kcp@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"ACP CAR, Office",ACP CAR,Office,295052,,—,,carkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"ACP CAR -2, Office",ACP CAR -2,Office,—,,9480805542,,
Commissionerates,Kalaburagi City,Kalaburagi,"ACP CCRB, Office",ACP CCRB,Office,258112,,—,,ccrbkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI CCRB, Office",PI CCRB,Office,—,,9480805534,,
Commissionerates,Kalaburagi City,Kalaburagi,"ACP CSB, Office",ACP CSB,Office,—,,,,csbkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI CSB, Office",PI CSB,Office,—,,9480805543,,
Commissionerates,Kalaburagi City,Kalaburagi,"PI CCB, Office",PI CCB,Office,—,,9480805536,,ccbkbc@ksp.gov.in
Commissionerates,Kalaburagi City,Kalaburagi,"PI FPB, Office",PI FPB,Office,—,,,,fpukbc@ksp.gov.in
