Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Internal Security Division (ISD),Dharwad,"SP, ISD Northern Range, Dharwad",SP,"ISD Northern Range, Dharwad",0836-2774833,,9480800613,,spnrisd@ksp.gov.in
Special Units,Internal Security Division (ISD),Dharwad,"Commandant KSISF-III BN, Dharwad",Commandant KSISF-III BN,Dharwad,0836-2777790,,9480800637,,cmbtn3ksisf@ksp.gov.in
Special Units,Karnataka Lokayukta,Belagavi,"SP, KLA, Belagavi",SP,"KLA, Belagavi",0831-2950756,,9364062512,,kla-spbgm-ka@nic.in
Special Units,Karnataka Lokayukta,Dharwad,"SP, KLA, Dharwad",SP,"KLA, Dharwad",0836-2957651,,9364062516,,kla-spdwd-ka@nic.in
Special Units,Karnataka Lokayukta,Bagalkote,"SP, KLA, Bagalkote",SP,"KLA, Bagalkote",08354-226200,,9364062510,,
Special Units,Karnataka Lokayukta,Vijayapura,"SP, KLA, Vijayapura",SP,"KLA, Vijayapura",08352-252252,,295074,,"spklabjp@gmail.com, kla-bjpsp-ka@nic.in"
Special Units,Karnataka Lokayukta,Belagavi,"DySP, KLA, BELAGAVI",DySP,"KLA, BELAGAVI",0831-2421922,,9364062554,,
Special Units,Karnataka Lokayukta,Bagalkote,"DySP, KLA, BAGALKOTE",DySP,"KLA, BAGALKOTE",08354-236200,,2421922,,
Special Units,Karnataka Lokayukta,Gadag,"DySP, KLA, GADAG",DySP,"KLA, GADAG",08372-220007,,295551,,
Special Units,Karnataka Lokayukta,Dharwad,"DySP, KLA, DHARWAD",DySP,"KLA, DHARWAD",0836-2793999,,9364062564,,
Special Units,Karnataka Lokayukta,Vijayapura,"DySP, KLA, VIJAYAPURA",DySP,"KLA, VIJAYAPURA",08352-255333,,9364062557,,
Special Units,Police Training Institutions,Belagavi,"Principal, KSPTS, Khanapur-Belagavi",Principal,"KSPTS, Khanapur-Belagavi",08336-223223,,9480800316,,ptskhanapurabgm@ksp.gov.in
Special Units,Police Training Institutions,Belagavi,"Principal, KSRP Training School, Kangralli, Belagavi",Principal,"KSRP Training School, Kangralli, Belagavi",0831-2405676,,9480800831,,ptskangrallibgm@ksp.gov.in
Special Units,Police Training Institutions,Belagavi,"Vice Principal, KSRP Training School, Kangralli, Belagavi",Vice Principal,"KSRP Training School, Kangralli, Belagavi",0831-2405678,,9480800832,,asish.meghannanavar@gmail.com
