Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
State Police Headquarters,Officers on State Deputation,Mysuru,"SP, vigilance CHESCOM, Mysuru",SP,"vigilance CHESCOM, Mysuru",0821-2342708,,2342707,,"dyspvigmos@gmail.com, spvigilance@cescmysore.org"
Special Units,Internal Security Division (ISD),Mysuru,"Commandant KSISF-IV BN, MYSURU",Commandant KSISF-IV BN,MYSURU,—,,9886967508,,
Special Units,Karnataka Lokayukta,Mysuru,"SP, KLA, Mysuru",SP,"KLA, Mysuru",0821-2957494,,9364062521,,kla-myssp-ka@nic.in
Special Units,Karnataka Lokayukta,Mandya,"SP, KLA, Mandya",SP,"KLA, Mandya",08232-291185,,9364062522,,Kla.sp-mdy@karnataka.gov.in
Special Units,Karnataka Lokayukta,Hassan,"SP, KLA, Hassan",SP,"KLA, Hassan",08172-268005,,295198,,kla-hsnsp-ka@nic.in
Special Units,Karnataka Lokayukta,Kodagu,"DySP, KLA, KODAGU",DySP,"KLA, KODAGU",08272-295297,,9364062578,,
Special Units,Karnataka Lokayukta,Mandya,"DySP, KLA, MANDYA",DySP,"KLA, MANDYA",08232-295657,,224450,,
Special Units,Karnataka Lokayukta,Chamarajanagara,"DySP, KLA, CHAMARAJANAGARA",DySP,"KLA, CHAMARAJANAGARA",08226-226177,,223333,,
Special Units,Karnataka Lokayukta,Hassan,"DySP, KLA, HASSAN",DySP,"KLA, HASSAN",08172-232198,,9364062567,,
Special Units,Karnataka Lokayukta,Mysuru,"DySP, KLA, MYSURU",DySP,"KLA, MYSURU",0821-2521100,,9364062575,,
Special Units,Police Training Institutions,Mysuru,"Principal, PTS, Mysuru City",Principal,"PTS, Mysuru City",0821-2418733,,—,,"principalptsmyc@ksp.gov.in, ptsmys@ksp.gov.in"
Special Units,Police Training Institutions,Hassan,"Principal, PTS, Hassan",Principal,"PTS, Hassan",08172-200100,,9591250020,,principalptshsn@ksp.gov.in
Special Units,Department of Prisons & Correctional Services,Mysuru,"Chief Superintendent of Prison, Mysuru",Chief Superintendent of Prison,Mysuru,0821-2492089,,2492092–F,,cpmys.prisons-kar@gov.in
Special Units,Department of Prisons & Correctional Services,Mysuru,"Principal, PTI, Mysuru",Principal,"PTI, Mysuru",0821-2497744,,9480806436,,cpmys.prisons-kar@gov.in
Special Units,State Intelligence,Mysuru,"DySP, MYSURU DIVISION",DySP,MYSURU DIVISION,08172-2657580,,9449878624,,
