Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,State Intelligence,State Level,"ADGP STATE INT (Chief of Intelligence), Office",ADGP STATE INT (Chief of Intelligence),Office,22213495,,22942223,,"director.int@ksp.gov.in, adgpint@ksp.gov.in"
Special Units,State Intelligence,State Level,"IGP State INT. Security, Office",IGP State INT. Security,Office,080-22215129,,22494751,,add.int@ksp.gov.in
Special Units,State Intelligence,State Level,"DIGP Admin State INT., Office",DIGP Admin State INT.,Office,080-22215568,,22942251,,"jd.int@ksp.gov.in, crstateint@ksp.gov.in"
Special Units,State Intelligence,State Level,"DIGP INT. Bengaluru City Cell, Office",DIGP INT. Bengaluru City Cell,Office,080-22494774,,22240371,,ddcitycell.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP, Admin INT",SP,Admin INT,080-22241261,,080-22942297,,"spadminint@ksp.gov.in, ddadmin.int@ksp.gov.in"
Special Units,State Intelligence,State Level,"SP INT Mysuru Division, Office",SP INT Mysuru Division,Office,0821-2342142,,0821-2341802,,ddmys.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP INT. Mangaluru, Division",SP INT. Mangaluru,Division,0824-2455713,,9449878510,,ddmaq.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP, INT. CM Security",SP,INT. CM Security,080-22942489,,9449878506,,ddcm.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP SITA (STATE INT TRAINING ACADEMY), Office",SP SITA (STATE INT TRAINING ACADEMY),Office,080-2210 0577,,9449878852,,sita.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP INT. (CI Cell) Counter Intelligence Cell, Office",SP INT. (CI Cell) Counter Intelligence Cell,Office,080-29606111,,080-29605111,,ddcicell.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP INT. Bengaluru Division, Office",SP INT. Bengaluru Division,Office,080-23337221,,080-22942496,,bcpint@ksp.gov.in
Special Units,State Intelligence,State Level,"SP Current Affairs, Office",SP Current Affairs,Office,080-22213932,,080-22494706,,ddca.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP INT. Davanagere Division, Office",SP INT. Davanagere Division,Office,08192-230501,,297694,,dddvg.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP, INT. Security",SP,INT. Security,080-22214268,,080-22275516,,"spsecint@ksp.gov.in, ddsec.int@ksp.gov.in"
Special Units,State Intelligence,State Level,"SP, INT. Communal (Social Affairs)",SP,INT. Communal (Social Affairs),080-22215828,,080-22494707,,ddsa.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP, INT. BDDS",SP,INT. BDDS,080-22100575,,9449878524,,ddbdds.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP INT. Kalaburagi Division, Office",SP INT. Kalaburagi Division,Office,08472-263649,,9449878512,,ddklb.int@ksp.gov.in
Special Units,State Intelligence,State Level,"SP INT. Bellari, Office",SP INT. Bellari,Office,—,,9449878529,,
Special Units,State Intelligence,State Level,"SP, Airport",SP,Airport,------,,9449878551 (INT NO.),,airport.int@ksp.gov.in
Special Units,State Intelligence,State Level,"INT C/Room, Office",INT C/Room,Office,22240372,,22942608,,crstateint@ksp.gov.in
Special Units,State Intelligence,State Level,"PI (WIRELESS), Office",PI (WIRELESS),Office,—,,9449878591,,
Special Units,State Intelligence,State Level,"PSI (IAD) ADMIN, Office",PSI (IAD) ADMIN,Office,—,,9449878513,,
Special Units,State Intelligence,State Level,"PSI (INT) INT DATA CENTER, Office",PSI (INT) INT DATA CENTER,Office,—,,9449878837,,ciodc.int@ksp.gov.in
Special Units,State Intelligence,State Level,"DySP, SITA (Spl. BRANCH TRAINING INSTITUTE)",DySP,SITA (Spl. BRANCH TRAINING INSTITUTE),22211393,,9449878516,,
Special Units,State Intelligence,State Level,"DySP, C/Room",DySP,C/Room,22211393,,22943802,,
Special Units,State Intelligence,State Level,"DySP, FR",DySP,FR,22942243,,9449878575,,
Special Units,State Intelligence,State Level,"DySP, CITY CELL",DySP,CITY CELL,—,,9449878555,,
Special Units,State Intelligence,State Level,"DySP, (POL)",DySP,(POL),—,,9449878537,,
Special Units,State Intelligence,State Level,"DySP, (BD) DIVISION",DySP,(BD) DIVISION,—,,9449878599,,
Special Units,State Intelligence,State Level,"DySP, BDDS",DySP,BDDS,—,,9449878566,,
Special Units,State Intelligence,State Level,"DySP, M.T SECTION (CIO)",DySP,M.T SECTION (CIO),—,,9449878536,,
Special Units,State Intelligence,State Level,"DySP, L&S",DySP,L&S,22942485,,9449878515,,
Special Units,State Intelligence,State Level,"DySP, CI CELL",DySP,CI CELL,22211393,,9449878534,,
Special Units,State Intelligence,State Level,"DySP, VIP SECURITY ADMIN",DySP,VIP SECURITY ADMIN,—,,9449878522,,
Special Units,State Intelligence,State Level,"DySP, CM SECURITY",DySP,CM SECURITY,22211393,,27403090,,
Special Units,State Intelligence,State Level,"INT EXCHANGE, Office",INT EXCHANGE,Office,22494800,,—,,
Special Units,State Intelligence,State Level,"AAO, Office",AAO,Office,22211393,,22942218,,
Special Units,State Intelligence,State Level,"INT VIP SECURITY, Office",INT VIP SECURITY,Office,22494728,,22943243,,
Special Units,State Intelligence,State Level,"PA TO DIRECTOR INT, Office",PA TO DIRECTOR INT,Office,22942223,,9449878590,,
Special Units,State Intelligence,State Level,"CM, SPECIAL OFFICER",CM,SPECIAL OFFICER,—,,9449878584,,
Special Units,State Intelligence,State Level,"PI, GOKAK",PI,GOKAK,08332-225332,,9449878603,,
Special Units,State Intelligence,State Level,"PI, KGF",PI,KGF,08153-274080,,9449878750,,
Special Units,State Intelligence,State Level,"PI, MADIKERI",PI,MADIKERI,08272-228425,,9449878619,,
Special Units,State Intelligence,State Level,"PI, MADHUGIRI",PI,MADHUGIRI,08137-282285,,9449878628,,
Special Units,State Intelligence,State Level,"PI, RAMANAGAR",PI,RAMANAGAR,080-27271807,,9449878600,,
Special Units,State Intelligence,State Level,"PI, YADAGIRI",PI,YADAGIRI,08473-252266,,9449878615,,
