Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Internal Security Division (ISD),Udupi,"SP CSP, Udupi",SP CSP,Udupi,0820-2538120,,2538100,,spcsp@ksp.gov.in
Special Units,Internal Security Division (ISD),Shivamogga,"Commandant KSISF-II BN, Shivamogga",Commandant KSISF-II BN,Shivamogga,08182-296211,,9480800616,,cmdbtn2ksisf@ksp.gov.in
Special Units,Karnataka Lokayukta,Mangaluru,"SP, KLA, Mangaluru",SP,"KLA, Mangaluru",0824-2950997,,9364062517,,kla-spmng-ka@nic.in
Special Units,Karnataka Lokayukta,Shivamogga,"SP, KLA, Shivamogga",SP,"KLA, Shivamogga",08182-222276,,295464,,kla.sp-smg@karnataka.gov.in
Special Units,Karnataka Lokayukta,Chikkamagaluru,"DySP, KLA, CHIKKAMAGALURU",DySP,"KLA, CHIKKAMAGALURU",08262-230179,,295679,,
Special Units,Karnataka Lokayukta,Shivamogga,"DySP, KLA, SHIVAMOGGA",DySP,"KLA, SHIVAMOGGA",08182-229671,,9364062560,,
Special Units,Karnataka Lokayukta,Udupi,"DySP, KLA, UDUPI",DySP,"KLA, UDUPI",0820-2536661,,0820-2958881,,
Special Units,Karnataka Lokayukta,Mangaluru,"DySP, KLA, MANGALURU (D.K)",DySP,"KLA, MANGALURU (D.K)",0824-2443420,,9364062579,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"DIGP & Special Action Force, Mangaluru",DIGP & Special Action Force,Mangaluru,—,,9480800502,,digpsafmgc@ksp.gov.in
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"DySP HQ SAF Mangaluru, Office",DySP HQ SAF Mangaluru,Office,—,,9480800511,,dspsafmgc@ksp.gov.in
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"DySP / Asst. Commandant, Office",DySP / Asst. Commandant,Office,—,,,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"PI HQ SAF Mangaluru, Office",PI HQ SAF Mangaluru,Office,—,,,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"PI SAF Mangaluru, Office",PI SAF Mangaluru,Office,—,,9480800680,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"PI SAF Shivamogga, Office",PI SAF Shivamogga,Office,—,,9480800682,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"PI SAF Udupi, Office",PI SAF Udupi,Office,—,,,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"RSI SAF HQ Mangalore, Office",RSI SAF HQ Mangalore,Office,—,,9480800683,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"RSI SAF Mangalore, Office",RSI SAF Mangalore,Office,—,,9480800685,,
Special Units,Special Action Force (SAF) – Mangaluru,Mangaluru,"RSI SAF Shivamogga, Office",RSI SAF Shivamogga,Office,—,,9865642261,,
Special Units,Department of Prisons & Correctional Services,Shivamogga,"Chief Superintendent of Central Women Prison, Shivamogga",Chief Superintendent of Central Women Prison,Shivamogga,08182-298401,,9480806420,,cpwsmg.prisons@ka.gov.in
Special Units,Department of Prisons & Correctional Services,Shivamogga,"Chief Superintendent of Prison, Shivamogga",Chief Superintendent of Prison,Shivamogga,08182-295502,,8147415128:PA,,cpsmg.prisons@ka.gov.in
Special Units,Department of Prisons & Correctional Services,Mangaluru,"Asst. Superintendent of Prison, Mangaluru",Asst. Superintendent of Prison,Mangaluru,—,,8618641520,,
Special Units,Department of Prisons & Correctional Services,Mangaluru,"PRISON, MANGALURU",PRISON,MANGALURU,0824-2492303,,9480806450,,dpmng.prisons-kar@gov.in
Special Units,Department of Prisons & Correctional Services,Shivamogga,"PRISON, SHIVAMOGGA",PRISON,SHIVAMOGGA,08182-295663,,295670,,cpsmg.prisons@ka.gov.in
Special Units,State Intelligence,Shivamogga,"DySP, SHIVAMOGGA DIVISION",DySP,SHIVAMOGGA DIVISION,08182-226905,,9449878527,,
Special Units,State Intelligence,Shivamogga,"PI, SHIVAMOGGA",PI,SHIVAMOGGA,08182-227273,,9449878626,,
Special Units,State Intelligence,Udupi,"PI, UDUPI",PI,UDUPI,0820-2521278,,9449878629,,
Special Units,Karnataka State Reserve Police (KSRP),Mangaluru,"Commandant, VII-BN, Mangaluru",Commandant,"VII-BN, Mangaluru",0824-2220543,,2220546,,cmdt7bn@ksp.gov.in
Special Units,Karnataka State Reserve Police (KSRP),Shivamogga,"Commandant, VIII-BN, Shivamogga",Commandant,"VIII-BN, Shivamogga",08182-246188,,9480805808,,cmdt8bn@ksp.gov.in
Special Units,KSRP Battalions,Mangaluru,"Commandant, VII-BN, Mangaluru",Commandant,"VII-BN, Mangaluru",0824-2220543,,2220546,,cmdt7bn@ksp.gov.in
Special Units,KSRP Battalions,Mangaluru,"VII-BN KSRP, C/Room MANGALURU",VII-BN KSRP,C/Room MANGALURU,0824-2220545,,2220556,,ksrpcr7bn@ksp.gov.in
Special Units,KSRP Battalions,Shivamogga,"Commandant, VIII-BN, Shivamogga",Commandant,"VIII-BN, Shivamogga",08182-246188,,246205,,cmdt8bn@ksp.gov.in
Special Units,KSRP Battalions,Shivamogga,"VIII-BN KSRP, C/Room SHIVAMOGGA",VIII-BN KSRP,C/Room SHIVAMOGGA,08182-246192,,246399,,ksrpcr8bn@ksp.gov.in
Special Units,Karnataka Railways Police,Mangaluru,"PI, Railways, Mangaluru",PI,"Railways, Mangaluru",0824-2220559,,9480800470,,mangalorerly@ksp.gov.in
Special Units,Finger Print Bureau (FPB),Shivamogga,"PI FPB, Shivamogga",PI FPB,Shivamogga,—,,9480803310,,
